INFO 2019-08-15 02:29:29,035 basehttp 124 "GET /image_codes/43302684-9ff3-49c6-b3a3-a0fb9e63768f/ HTTP/1.1" 200 3185
INFO 2019-08-15 02:29:29,701 basehttp 124 "GET /image_codes/25309ba7-c22f-4be9-8ae6-a638a48e2030/ HTTP/1.1" 200 3329
INFO 2019-08-15 02:29:30,081 basehttp 124 "GET /image_codes/c02d15c9-9504-4f60-a2a1-af88b61e7c9a/ HTTP/1.1" 200 3152
INFO 2019-08-15 02:29:30,449 basehttp 124 "GET /image_codes/0d5f3b41-1872-41fb-8eb5-c9e6fa83e481/ HTTP/1.1" 200 2882
INFO 2019-08-15 03:06:44,191 basehttp 124 "GET /register/ HTTP/1.1" 200 4704
INFO 2019-08-15 03:06:44,517 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-08-15 03:06:44,528 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-08-15 03:06:45,339 basehttp 124 "GET /image_codes/8550b831-5d2a-45e7-9bff-ea0a5d858221/ HTTP/1.1" 200 3659
WARNING 2019-08-15 03:06:45,443 base 152 Not Found: /favicon.ico
WARNING 2019-08-15 03:06:45,446 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2716
INFO 2019-08-15 03:27:05,305 basehttp 124 "GET /register/ HTTP/1.1" 200 4704
INFO 2019-08-15 03:27:05,384 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-08-15 03:27:05,393 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-08-15 03:27:05,549 basehttp 124 "GET /image_codes/069fb2b4-8b14-4484-8ae9-d86bb25f3595/ HTTP/1.1" 200 3377
INFO 2019-08-15 03:27:40,647 basehttp 124 "GET /mobiles/15024224950/count/ HTTP/1.1" 200 12
INFO 2019-08-15 03:27:42,634 basehttp 124 "GET /mobiles/15024224950/count/ HTTP/1.1" 200 12
